method,stage,t,d_median,d_q25,d_q75,tau,n_rollouts
ewc,1,145,1.7187,1.6185,2.1727,3.8298,29
ewc,1,150,1.7187,1.6185,2.1727,3.8298,29
ewc,1,155,1.7187,1.6185,2.1727,3.8298,29
ewc,1,160,1.7187,1.6185,2.1727,3.8298,29
ewc,1,165,1.7187,1.6185,2.1727,3.8298,29
ewc,1,170,1.7187,1.6185,2.1727,3.8298,29
ewc,1,175,1.7187,1.6185,2.1727,3.8298,29
ewc,1,180,1.7187,1.6185,2.1727,3.8298,29
ewc,1,185,1.7187,1.6185,2.1727,3.8298,29
ewc,1,190,1.7187,1.6185,2.1727,3.8298,29
ewc,1,195,1.7187,1.6185,2.1727,3.8298,29
ewc,1,200,1.7187,1.6185,2.1727,3.8298,29
ewc,1,205,1.7187,1.6185,2.1727,3.8298,29
ewc,1,210,1.7187,1.6185,2.1727,3.8298,29
ewc,1,215,1.7187,1.6185,2.1727,3.8298,29
ewc,1,220,1.7187,1.6185,2.1727,3.8298,29
ewc,1,225,1.7187,1.6185,2.1727,3.8298,29
ewc,1,230,1.7187,1.6185,2.1727,3.8298,29
ewc,1,235,1.7187,1.6185,2.1727,3.8298,29
ewc,1,240,1.7187,1.6185,2.1727,3.8298,29
ewc,1,245,1.7187,1.6185,2.1727,3.8298,29
ewc,1,250,1.7187,1.6185,2.1727,3.8298,29
ewc,1,255,1.7187,1.6185,2.1727,3.8298,29
ewc,1,260,1.7187,1.6185,2.1727,3.8298,29
ewc,1,265,1.7187,1.6185,2.1727,3.8298,29
ewc,1,270,1.7187,1.6185,2.1727,3.8298,29
ewc,1,275,1.7187,1.6185,2.1727,3.8298,29
ewc,1,280,1.7187,1.6185,2.1727,3.8298,29
ewc,1,285,1.7187,1.6185,2.1727,3.8298,29
ewc,1,290,1.7187,1.6185,2.1727,3.8298,29
ewc,1,295,1.7187,1.6185,2.1727,3.8298,29
ewc,2,0,1.5421,1.2408,1.6233,3.8298,3
ewc,2,5,1.5686,1.2928,1.6146,3.8298,3
